Symbol,Name,Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,good_pe,good_eps,good_mc,good_pb,good_div,good_stock,predicted_good_stock
EXC,Exelon,40.0,16.460905,0.038,2.43,40193200128.0,7148000256.0,1.7533242,1.5097759,True,True,True,True,True,1,1
EXPD,Expeditors International,113.58,22.14035,0.0128,5.13,15898474496.0,1006916992.0,1.602091,6.7458577,True,True,True,False,False,0,0
EXR,Extra Space Storage,154.0,41.17647,0.0419,3.74,33966393344.0,2260791040.0,10.257874,2.33005,False,True,True,True,True,0,0
XOM,ExxonMobil,106.83,13.643679,0.0361,7.83,481570422784.0,71537999872.0,1.400655,1.7481018,True,True,True,True,True,1,0
FDS,FactSet,474.41,33.959198,0.0088,13.97,18041812992.0,831163008.0,8.189447,9.414578,False,True,True,False,False,0,0
FAST,Fastenal,73.24,36.62,0.0209,2.0,41989955584.0,1693200000.0,5.6135554,11.664278,False,True,True,False,True,0,0
FRT,Federal Realty Investment Trust,108.63,31.578487,0.040599998,3.44,9297924096.0,739025984.0,7.8462167,3.126493,False,True,True,False,True,0,0
FDX,FedEx,264.87,16.903,0.02,15.67,63794204672.0,10885000192.0,0.72831917,2.3460376,True,True,True,True,True,1,0
FIS,Fidelity National Information Services,81.47,83.98969,0.0175,0.97,43859701760.0,3571000064.0,4.372416,2.669922,False,True,True,True,False,0,0
FE,FirstEnergy,39.8,25.67742,0.0428,1.55,22937415680.0,3924000000.0,1.7302116,1.8457543,False,True,True,True,True,0,0
FMC,FMC Corporation,55.78,4.575882,0.041100003,12.19,6963352064.0,703299968.0,1.67071,1.5112026,True,True,True,True,True,1,1
F,Ford Motor Company,10.08,11.454545,0.0591,0.88,40060841984.0,9360000000.0,0.21921957,0.9040359,True,True,True,True,True,1,1
FTV,Fortive,81.33,32.532,0.0039,2.5,28217362432.0,1698499968.0,4.5547137,2.6730428,False,True,True,True,False,0,0
FOXA,Fox Corporation (Class A),51.18,12.513447,0.0106,4.09,22749509632.0,3025999872.0,1.5867691,2.0780382,True,True,True,True,False,0,0
FOX,Fox Corporation (Class B),48.6,11.88264,0.0112,4.09,22786205696.0,3025999872.0,1.5893286,1.9732835,True,True,True,True,False,0,0
BEN,Franklin Resources,22.24,26.164705,0.0635,0.85,11653382144.0,1688400000.0,1.3745438,0.9309724,False,True,True,True,False,0,1
FCX,Freeport-McMoRan,35.85,28.228346,0.0153,1.27,52648947712.0,9900000256.0,2.0533912,2.935637,False,True,True,True,False,0,0
GRMN,Garmin,215.85,27.392132,0.0138,7.88,41448595456.0,1596897024.0,6.958148,5.524841,False,True,True,False,False,0,0
GE,GE Aerospace,203.57,33.48191,0.0058999998,6.08,218571079680.0,8935000064.0,3.1245418,11.673262,False,True,True,False,False,0,0
GEHC,GE HealthCare,88.3,24.19178,0.0016,3.65,40341884928.0,3571000064.0,2.062574,4.850316,True,True,True,False,False,0,0
GEV,GE Vernova,372.88,66.70483,0.0023999999,5.59,102785867776.0,1396999936.0,2.9860516,10.805298,False,True,True,False,False,0,0
GEN,Gen Digital,26.91,27.742268,0.0179,0.97,17188493312.0,1808999936.0,4.449519,7.6318774,False,True,True,False,False,0,0
GD,General Dynamics,256.98,18.867842,0.0216,13.62,69472231424.0,5402999808.0,1.5087571,3.0709114,True,True,True,False,True,0,0
GIS,General Mills,60.14,13.073914,0.0364,4.6,33151031296.0,4214599936.0,1.6742437,3.5782712,True,True,True,False,True,0,0
GM,General Motors,49.46,7.764521,0.0087,6.37,49252614144.0,18371000320.0,0.26955387,0.76698816,True,True,True,True,False,0,0
GPC,Genuine Parts Company,116.25,14.98067,0.0339,7.76,16162934784.0,2055010944.0,0.6936203,3.4425063,True,True,True,False,True,0,0
GILD,Gilead Sciences,97.2,1079.9999,0.0318,0.09,121137438720.0,13948999680.0,4.2806263,6.555608,False,True,True,False,True,0,0
GPN,Global Payments,112.85,21.292452,0.0089,5.3,28719761408.0,4356144128.0,2.8650084,1.2585455,True,True,True,True,False,0,0
GL,Globe Life,122.09,10.34661,0.0078,11.8,10248857600.0,1495667968.0,1.7894174,2.2181644,True,True,True,True,False,0,0
HAL,Halliburton,26.02,9.194346,0.023,2.83,22858622976.0,5112000000.0,0.99070877,2.2188113,True,True,True,True,True,1,0
HIG,Hartford (The),111.55,10.777778,0.0182,10.35,32337342464.0,4254000128.0,1.2397387,1.9455831,True,True,True,True,False,0,0
DOC,Healthpeak Properties,20.66,42.163265,0.0585,0.49,14450492416.0,1400305024.0,5.6533074,1.6874949,False,True,True,True,True,0,0
HSY,Hershey Company (The),149.25,17.155172,0.036,8.7,30201485312.0,2952748032.0,2.7526376,7.182041,True,True,True,False,True,0,0
HES,Hess Corporation,139.03,15.482183,0.0138,8.98,42837647360.0,6984999936.0,3.437186,3.9456806,True,True,True,False,False,0,0
HPE,Hewlett Packard Enterprise,21.19,10.979275,0.024,1.93,27871844352.0,4909000192.0,0.9604357,1.2461774,True,True,True,True,True,1,0
HD,Home Depot (The),411.98,28.159946,0.0217,14.63,411748892672.0,24757999616.0,2.6633863,70.5566,False,True,True,False,True,0,0
HON,Honeywell,223.72,25.83372,0.0202,8.66,145694507008.0,9164000256.0,3.8492603,8.35774,False,True,True,False,True,0,0
HRL,Hormel Foods,29.98,20.394558,0.0365,1.47,16459409408.0,1353831040.0,1.3738172,2.0896354,True,True,True,True,True,1,0
HST,Host Hotels & Resorts,16.71,16.2233,0.0481,1.03,11839519744.0,1515000064.0,2.117982,1.7402623,True,True,True,True,True,1,1
HWM,Howmet Aerospace,126.58,48.684616,0.0031,2.6,51424518144.0,1772000000.0,7.0735235,11.58627,False,True,True,False,False,0,0
HUBB,Hubbell Incorporated,423.01,30.410498,0.0124,13.91,22703159296.0,1266200064.0,4.025383,7.061701,False,True,True,False,False,0,0
HUM,Humana,293.23,25.587261,0.0119,11.46,35308118016.0,3779000064.0,0.3070004,2.0101457,False,True,True,True,False,0,0
HII,Huntington Ingalls Industries,197.26,11.150932,0.0276,17.69,7718645248.0,1071000000.0,0.6592625,1.8364458,True,True,True,True,True,1,0
IBM,IBM,255.7,40.14129,0.0292,6.37,238808203264.0,14675999744.0,3.8160467,9.670953,False,True,True,False,True,0,0
IEX,IDEX Corporation,224.31,34.776745,0.0123000005,6.45,16985492480.0,862700032.0,5.3166056,4.458114,False,True,True,False,False,0,0
ITW,Illinois Tool Works,259.16,22.438095,0.0231,11.55,76529950720.0,4652000256.0,4.798417,22.569016,True,True,True,False,True,0,0
IR,Ingersoll Rand,93.8,45.980396,0.00090000004,2.04,37887229952.0,1901100032.0,5.293139,3.6849344,False,True,True,False,False,0,0
ICE,Intercontinental Exchange,159.83,37.96437,0.0113,4.21,91770716160.0,5558000128.0,10.021919,3.3688138,False,True,True,False,False,0,0
IP,International Paper,55.63,35.43312,0.0319,1.57,19326308352.0,1955000064.0,1.0368192,2.239623,False,True,True,True,True,0,0
IPG,Interpublic Group of Companies (The),28.67,13.523585,0.046,2.12,10680005632.0,1732099968.0,1.1436042,2.8664267,True,True,True,True,True,1,1
INTU,Intuit,601.51,58.51265,0.0061000003,10.28,168372879360.0,4496000000.0,10.339139,9.144269,False,True,True,False,False,0,0
IVZ,Invesco,19.23,16.29661,0.0462,1.18,8615040000.0,1053000000.0,1.4633013,0.8044342,True,True,True,True,True,1,1
INVH,Invitation Homes,31.15,43.263885,0.0374,0.72,19082676224.0,1407630976.0,7.470035,1.9243838,False,True,True,True,True,0,0
JBHT,J.B. Hunt,171.22,30.794964,0.0092,5.56,17217028096.0,1577556992.0,1.4060966,4.3157816,False,True,True,False,False,0,0
SJM,J.M. Smucker Company (The),106.89,21.59394,0.038,4.95,11374806016.0,1977900032.0,1.3384329,1.475342,True,True,True,True,True,1,0
JBL,Jabil,162.41,15.336166,0.0022,10.59,17789579264.0,2143000064.0,0.6159187,10.635191,True,True,True,False,False,0,0
JKHY,Jack Henry & Associates,174.09,31.826326,0.0126,5.47,12701484032.0,571171968.0,5.657281,6.598067,False,True,True,False,False,0,0
J,Jacobs Solutions,140.13,29.19375,0.0083,4.8,17378502656.0,1476304000.0,1.0253645,2.6314507,False,True,True,True,False,0,0
JNJ,Johnson & Johnson,152.15,26.36915,0.0335,5.77,368053878784.0,30051999744.0,4.196929,5.2206287,False,True,True,False,True,0,0
JCI,Johnson Controls,78.0,37.5,0.0189,2.08,51490840576.0,3232000000.0,2.2434142,3.22354,False,True,True,False,False,0,0
JNPR,Juniper Networks,34.86,45.868423,0.0256,0.76,11541762048.0,498500000.0,2.292625,2.4844987,False,True,True,True,True,0,0
K,Kellanova,81.73,27.33445,0.0278,2.99,28172167168.0,2032000000.0,2.2011225,7.7183876,False,True,True,False,True,0,0
KVUE,Kenvue,21.29,38.70909,0.0378,0.55,40818466816.0,3454000128.0,2.6404338,3.8325834,False,True,True,False,True,0,0
KDP,Keurig Dr Pepper,32.1,19.337349,0.028499998,1.66,43542044672.0,4230000128.0,2.8744419,1.7438068,True,True,True,True,True,1,0
KMB,Kimberly-Clark,129.97,17.21457,0.037100002,7.55,43124047872.0,3897999872.0,2.1454751,33.73216,True,True,True,False,True,0,0
